"","word","freq"
"smearnsupportbannon","smearnsupportbannon",10
"support","support",10
"thetide","thetide",10
"tour","tour",10
"umannequinchallenge","umannequinchallenge",10
"warns","warns",10
"whats","whats",10
"youve","youve",10
"anti","anti",9
"antioccupation","antioccupation",9
"attacking","attacking",9
"available","available",9
"biggest","biggest",9
"bostontheboxer","bostontheboxer",9
"c‚Ä","c‚Ä",9
"club","club",9
"complaint","complaint",9
"couldnt","couldnt",9
"cry","cry",9
"different","different",9
"duo","duo",9
"easection","easection",9
"eduaubdedubueduaubdedubueduaubdedubu","eduaubdedubueduaubdedubueduaubdedubu",9
"etc","etc",9
"europeantour","europeantour",9
"event","event",9
"exactly","exactly",9
"far","far",9
"football","football",9
"forget","forget",9
"give","give",9
"h‚Ä","h‚Ä",9
"halfhalaltrash","halfhalaltrash",9
"happening","happening",9
"hired","hired",9
"hornsup","hornsup",9
"hours","hours",9
"ht‚Ä","ht‚Ä",9
"httpstcodozrzkif","httpstcodozrzkif",9
"httpstcodujjjowe","httpstcodujjjowe",9
"httpstcofnzkcwqdanrt","httpstcofnzkcwqdanrt",9
"httpstcok‚Ä","httpstcok‚Ä",9
"httpstconmcmkqjk","httpstconmcmkqjk",9
"httpstcoqjpvhbl","httpstcoqjpvhbl",9
"httpstcoylyxsymanrt","httpstcoylyxsymanrt",9
"ifnotnoworg","ifnotnoworg",9
"important","important",9
"instagram","instagram",9
"instead","instead",9
"keating","keating",9
"kissing","kissing",9
"kkk","kkk",9
"laramnation","laramnation",9
"late","late",9
"later","later",9
"mitchellvii","mitchellvii",9
"nationalists","nationalists",9
"offensive","offensive",9
"plus","plus",9
"questions","questions",9
"raise","raise",9
"realize","realize",9
"rescinded","rescinded",9
"romney","romney",9
"ryanthomas","ryanthomas",9
"seats","seats",9
"set","set",9
"shot","shot",9
"silicon","silicon",9
"someone","someone",9
"thecharlieweber","thecharlieweber",9
"thinks","thinks",9
"thoughts","thoughts",9
"toddgurley","toddgurley",9
"trip","trip",9
"version","version",9
"victimized","victimized",9
"watched","watched",9
"way","way",9
"weeks","weeks",9
"wins","wins",9
"work","work",9
"world","world",9
"zoa","zoa",9
"‚Äúscared‚Äù","‚Äúscared‚Äù",8
"advisornni","advisornni",8
"asian","asian",8
"atta‚Ä","atta‚Ä",8
"bold","bold",8
"bruh","bruh",8
"called","called",8
"conradricamora","conradricamora",8
"decisions","decisions",8
"distortion","distortion",8
"download","download",8
"expecting","expecting",8
"facebook","facebook",8
"fake","fake",8
"feisty","feisty",8
"fridayfeeling","fridayfeeling",8
"gambling","gambling",8
"gay","gay",8
"hall","hall",8
"hardest","hardest",8
"harry","harry",8
"he‚Äôs","he‚Äôs",8
"hear","hear",8
"hekker","hekker",8
"hmmthats","hmmthats",8
"httpstc‚Ä","httpstc‚Ä",8
"httpstcoarzzjnluqp","httpstcoarzzjnluqp",8
"httpstcocukjqubv","httpstcocukjqubv",8
"httpstcolmtusaefx","httpstcolmtusaefx",8
"httpstcommibbm","httpstcommibbm",8
"hunt","hunt",8
"idea","idea",8
"jim","jim",8
"laws","laws",8
"meant","meant",8
"members","members",8
"misogynistic","misogynistic",8
"nationalism","nationalism",8
"nowairing","nowairing",8
"nsteve","nsteve",8
"nvs","nvs",8
"presidenttrumpnhttpstcotlbzxq‚Ä","presidenttrumpnhttpstcotlbzxq‚Ä",8
"press","press",8
"punter","punter",8
"rae","rae",8
"rather","rather",8
"reaction","reaction",8
"refuse","refuse",8
"russillokanell","russillokanell",8
"ryan","ryan",8
"sarahkendzior","sarahkendzior",8
"showrunner","showrunner",8
"soon","soon",8
"spoil","spoil",8
"stomachpainsamptears","stomachpainsamptears",8
"super","super",8
"tdespn","tdespn",8
"theonion","theonion",8
"thought","thought",8
"try","try",8
"use","use",8
"wanna","wanna",8
"we‚Äôre","we‚Äôre",8
"website","website",8
"went","went",8
"witch","witch",8
"witnessing","witnessing",8
"women","women",8
"wtf","wtf",8
"youre","youre",8
"actually","actually",7
"advising","advising",7
"always","always",7
"asher","asher",7
"att","att",7
"baby","baby",7
"bannonnpresidentelecttrump","bannonnpresidentelecttrump",7
"bashing","bashing",7
"behind","behind",7
"biased","biased",7
"broke","broke",7
"bunch","bunch",7
"career","career",7
"ceos","ceos",7
"cheerleaders","cheerleaders",7
"church‚Ä","church‚Ä",7
"coast","coast",7
"coaxed","coaxed",7
"contributor","contributor",7
"coulter","coulter",7
"damaged","damaged",7
"dnc","dnc",7
"drunkyborghy","drunkyborghy",7
"earned","earned",7
"eduaubdedubuad","eduaubdedubuad",7
"emotions","emotions",7
"end","end",7
"epicclips","epicclips",7
"expected","expected",7
"fahrenthold","fahrenthold",7
"flattered","flattered",7
"foxandfriends","foxandfriends",7
"freegoff","freegoff",7
"glad","glad",7
"glover","glover",7
"gop","gop",7
"h‚Änrt","h‚Änrt",7
"haters","haters",7
"heads","heads",7
"history","history",7
"httpstconewxxcor‚Ä","httpstconewxxcor‚Ä",7
"httpstcooklvpvti","httpstcooklvpvti",7
"httpstcoqisyqjbphnrt","httpstcoqisyqjbphnrt",7
"httpstcosxcfvptdnrt","httpstcosxcfvptdnrt",7
"httpstcovbebdhvtynrt","httpstcovbebdhvtynrt",7
"httpstcovdmrlkhnrt","httpstcovdmrlkhnrt",7
"httpstcowwsjxtulcy","httpstcowwsjxtulcy",7
"httpstcoxvfrpspx","httpstcoxvfrpspx",7
